DOI,Year,Journal,Membrane,MWCO,solvent_name,rejection,solvent_smiles,Temperature,Process configuration,solute_smiles,smiles,dm300
10.1039/c7ra11827a,2017,RSC Adv,DM300,300,2-Methyl tetrahydrofurane,0.68,CC1CCCO1,25,CF,O=CC1=CC=C(C(F)(F)F)C=C1,O=CC1=CC=C(C(F)(F)F)C=C1.CC1CCCO1,0.30109763970224873
10.1039/c2gc36407g,2013,Green Chem,DM300,300,Tetrahydrofuran,0.99,C1CCCO1,20,CF,O=N(CC(C(C(OC)=O)C(OC)=O)C1=CC=CC=C1)=O,O=N(CC(C(C(OC)=O)C(OC)=O)C1=CC=CC=C1)=O.C1CCCO1,0.7483145050148214
10.1002/cssc.201100355,2012,ChemSusChem,DM300,300,Acetone,0.88,CC(C)=O,25,CF,CC(O[Pd]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)[P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)=O,CC(O[Pd]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)[P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)=O.CC(C)=O,1.053912172298388
10.1016/j.memsci.2017.05.003,2017,Journal of Membrane Science,DM300,300,Acetonitrile,0.8,CC#N,25,DE,[Cl-].n1c4c([n+](c2c1cc(c(N)c2)C)c3ccccc3)cc(c(c4)C)N,[Cl-].n1c4c([n+](c2c1cc(c(N)c2)C)c3ccccc3)cc(c(c4)C)N.CC#N,0.8999624867952484
10.1021/op400037h,2013,OPRD,DM300,300,Tetrahydrofuran,0.996,C1CCCO1,20,DE,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C.C1CCCO1,0.8232467346674623
10.1021/op400037h,2013,OPRD,DM300,300,Tetrahydrofuran,0.971,C1CCCO1,20,DE,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)OC)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)OC)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C.C1CCCO1,0.8084667034818251
10.1039/c7ra11827a,2017,RSC Adv,DM300,300,2-Methyl tetrahydrofurane,1,CC1CCCO1,25,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1,0.776263705970792
10.1021/acssuschemeng.5b00734,2015,ASCECG,DM300,300,Ethanol,0.56,CCO,23,CF,CCC(CO1)OC1=O,CCC(CO1)OC1=O.CCO,0.6638762518847969
10.1039/c7ra11827a,2017,RSC Adv,DM300,300,2-Methyl tetrahydrofurane,0.99,CC1CCCO1,25,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1,0.776263705970792
10.1021/op400037h,2013,OPRD,DM300,300,Tetrahydrofuran,0.967,C1CCCO1,20,DE,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C4=CC=CC=C4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C.C1CCCO1,0.8232467346674623
